Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,66194,2015,8,30,6.5,1.0,Y
IDCJAC0011,66194,2015,8,31,5.1,1.0,Y
IDCJAC0011,66194,2015,9,1,4.1,1.0,Y
IDCJAC0011,66194,2015,9,2,3.8,1.0,Y
IDCJAC0011,66194,2015,9,3,10.0,1.0,Y
IDCJAC0011,66194,2015,9,4,12.3,1.0,Y
IDCJAC0011,66194,2015,9,5,7.4,1.0,Y
IDCJAC0011,66194,2015,9,6,9.7,1.0,Y
IDCJAC0011,66194,2015,9,7,7.7,1.0,Y
IDCJAC0011,66194,2015,9,8,6.1,1.0,Y
IDCJAC0011,66194,2015,9,9,5.9,1.0,Y
IDCJAC0011,66194,2015,9,10,8.4,1.0,Y
IDCJAC0011,66194,2015,9,11,11.1,1.0,Y
IDCJAC0011,66194,2015,9,12,7.6,1.0,Y
IDCJAC0011,66194,2015,9,13,9.6,1.0,Y
IDCJAC0011,66194,2015,9,14,9.2,1.0,Y
IDCJAC0011,66194,2015,9,15,9.9,1.0,Y
IDCJAC0011,66194,2015,9,16,7.5,1.0,Y
IDCJAC0011,66194,2015,9,17,9.0,1.0,Y
IDCJAC0011,66194,2015,9,18,12.5,1.0,Y
IDCJAC0011,66194,2015,9,19,12.1,1.0,Y
IDCJAC0011,66194,2015,9,20,9.0,1.0,Y
IDCJAC0011,66194,2015,9,21,8.4,1.0,Y
IDCJAC0011,66194,2015,9,22,10.8,1.0,Y
IDCJAC0011,66194,2015,9,23,8.3,1.0,Y
IDCJAC0011,66194,2015,9,24,7.5,1.0,Y
IDCJAC0011,66194,2015,9,25,10.3,1.0,Y
IDCJAC0011,66194,2015,9,26,10.4,1.0,Y
IDCJAC0011,66194,2015,9,27,12.1,1.0,Y
IDCJAC0011,66194,2015,9,28,8.8,1.0,Y
IDCJAC0011,66194,2015,9,29,7.8,1.0,Y
IDCJAC0011,66194,2015,9,30,13.3,1.0,Y
IDCJAC0011,66194,2015,10,1,13.1,1.0,Y
IDCJAC0011,66194,2015,10,2,13.8,1.0,Y
IDCJAC0011,66194,2015,10,3,11.4,1.0,Y
IDCJAC0011,66194,2015,10,4,11.5,1.0,Y
IDCJAC0011,66194,2015,10,5,11.6,1.0,Y
IDCJAC0011,66194,2015,10,6,13.6,1.0,Y
IDCJAC0011,66194,2015,10,7,15.1,1.0,Y
IDCJAC0011,66194,2015,10,8,16.3,1.0,Y
IDCJAC0011,66194,2015,10,9,16.6,1.0,Y
IDCJAC0011,66194,2015,10,10,12.9,1.0,Y
IDCJAC0011,66194,2015,10,11,11.9,1.0,Y
IDCJAC0011,66194,2015,10,12,14.4,1.0,Y
IDCJAC0011,66194,2015,10,13,17.0,1.0,Y
IDCJAC0011,66194,2015,10,14,13.2,1.0,Y
IDCJAC0011,66194,2015,10,15,13.7,1.0,Y
IDCJAC0011,66194,2015,10,16,14.2,1.0,Y
IDCJAC0011,66194,2015,10,17,16.6,1.0,Y
IDCJAC0011,66194,2015,10,18,18.8,1.0,Y
IDCJAC0011,66194,2015,10,19,18.8,1.0,Y
IDCJAC0011,66194,2015,10,20,15.8,1.0,Y
IDCJAC0011,66194,2015,10,21,15.8,1.0,Y
IDCJAC0011,66194,2015,10,22,18.1,1.0,Y
IDCJAC0011,66194,2015,10,23,14.0,1.0,Y
IDCJAC0011,66194,2015,10,24,10.5,1.0,Y
IDCJAC0011,66194,2015,10,25,12.1,1.0,Y
IDCJAC0011,66194,2015,10,26,13.6,1.0,Y
IDCJAC0011,66194,2015,10,27,15.1,1.0,Y
IDCJAC0011,66194,2015,10,28,11.6,1.0,Y
IDCJAC0011,66194,2015,10,29,11.8,1.0,Y
IDCJAC0011,66194,2015,10,30,10.3,1.0,Y
IDCJAC0011,66194,2015,10,31,12.8,1.0,Y
IDCJAC0011,66194,2015,11,1,14.9,1.0,Y
IDCJAC0011,66194,2015,11,2,17.7,1.0,Y
IDCJAC0011,66194,2015,11,3,18.1,1.0,Y
IDCJAC0011,66194,2015,11,4,16.8,1.0,Y
IDCJAC0011,66194,2015,11,5,16.0,1.0,Y
IDCJAC0011,66194,2015,11,6,17.9,1.0,Y
IDCJAC0011,66194,2015,11,7,15.3,1.0,Y
IDCJAC0011,66194,2015,11,8,15.7,1.0,Y
IDCJAC0011,66194,2015,11,9,11.8,1.0,Y
IDCJAC0011,66194,2015,11,10,11.8,1.0,Y
IDCJAC0011,66194,2015,11,11,19.0,1.0,Y
IDCJAC0011,66194,2015,11,12,15.9,1.0,Y
IDCJAC0011,66194,2015,11,13,15.1,1.0,Y
IDCJAC0011,66194,2015,11,14,16.9,1.0,Y
IDCJAC0011,66194,2015,11,15,15.0,1.0,Y
IDCJAC0011,66194,2015,11,16,12.4,1.0,Y
IDCJAC0011,66194,2015,11,17,10.8,1.0,Y
IDCJAC0011,66194,2015,11,18,13.2,1.0,Y
IDCJAC0011,66194,2015,11,19,15.6,1.0,Y
IDCJAC0011,66194,2015,11,20,20.4,1.0,Y
IDCJAC0011,66194,2015,11,21,19.5,1.0,Y
IDCJAC0011,66194,2015,11,22,16.5,1.0,Y
IDCJAC0011,66194,2015,11,23,14.0,1.0,Y
IDCJAC0011,66194,2015,11,24,14.9,1.0,Y
IDCJAC0011,66194,2015,11,25,14.0,1.0,Y
IDCJAC0011,66194,2015,11,26,17.0,1.0,Y
IDCJAC0011,66194,2015,11,27,14.4,1.0,Y
IDCJAC0011,66194,2015,11,28,18.0,1.0,Y
IDCJAC0011,66194,2015,11,29,19.4,1.0,Y
IDCJAC0011,66194,2015,11,30,16.4,1.0,Y
IDCJAC0011,66194,2015,12,1,16.0,1.0,Y
IDCJAC0011,66194,2015,12,2,18.7,1.0,Y
IDCJAC0011,66194,2015,12,3,16.3,1.0,Y
IDCJAC0011,66194,2015,12,4,11.2,1.0,Y
IDCJAC0011,66194,2015,12,5,11.1,1.0,Y
IDCJAC0011,66194,2015,12,6,13.5,1.0,Y
IDCJAC0011,66194,2015,12,7,15.8,1.0,Y
IDCJAC0011,66194,2015,12,8,20.0,1.0,Y
IDCJAC0011,66194,2015,12,9,20.7,1.0,Y
IDCJAC0011,66194,2015,12,10,19.9,1.0,Y
IDCJAC0011,66194,2015,12,11,19.4,1.0,Y
IDCJAC0011,66194,2015,12,12,17.4,1.0,Y
IDCJAC0011,66194,2015,12,13,17.5,1.0,Y
IDCJAC0011,66194,2015,12,14,14.9,1.0,Y
IDCJAC0011,66194,2015,12,15,16.0,1.0,Y
IDCJAC0011,66194,2015,12,16,19.8,1.0,Y
IDCJAC0011,66194,2015,12,17,13.6,1.0,Y
IDCJAC0011,66194,2015,12,18,16.0,1.0,Y
IDCJAC0011,66194,2015,12,19,16.0,1.0,Y
IDCJAC0011,66194,2015,12,20,15.2,1.0,Y
IDCJAC0011,66194,2015,12,21,22.9,1.0,Y
IDCJAC0011,66194,2015,12,22,17.1,1.0,Y
IDCJAC0011,66194,2015,12,23,17.0,1.0,Y
IDCJAC0011,66194,2015,12,24,13.4,1.0,Y
IDCJAC0011,66194,2015,12,25,13.4,1.0,Y
IDCJAC0011,66194,2015,12,26,16.8,1.0,Y
IDCJAC0011,66194,2015,12,27,15.9,1.0,Y
IDCJAC0011,66194,2015,12,28,14.4,1.0,Y
IDCJAC0011,66194,2015,12,29,12.8,1.0,Y
IDCJAC0011,66194,2015,12,30,11.8,1.0,Y
IDCJAC0011,66194,2015,12,31,14.2,1.0,Y
IDCJAC0011,66194,2016,1,1,15.0,1.0,Y
IDCJAC0011,66194,2016,1,2,14.8,1.0,Y
IDCJAC0011,66194,2016,1,3,18.9,1.0,Y
IDCJAC0011,66194,2016,1,4,19.5,1.0,Y
IDCJAC0011,66194,2016,1,5,17.3,1.0,Y
IDCJAC0011,66194,2016,1,6,16.4,1.0,Y
IDCJAC0011,66194,2016,1,7,16.2,1.0,Y
IDCJAC0011,66194,2016,1,8,,,
IDCJAC0011,66194,2016,1,9,16.5,1.0,Y
IDCJAC0011,66194,2016,1,10,15.7,1.0,Y
IDCJAC0011,66194,2016,1,11,17.8,1.0,Y
IDCJAC0011,66194,2016,1,12,20.1,1.0,Y
IDCJAC0011,66194,2016,1,13,20.6,1.0,Y
IDCJAC0011,66194,2016,1,14,20.8,1.0,Y
IDCJAC0011,66194,2016,1,15,13.4,1.0,Y
IDCJAC0011,66194,2016,1,16,13.9,1.0,Y
IDCJAC0011,66194,2016,1,17,13.5,1.0,Y
IDCJAC0011,66194,2016,1,18,14.6,1.0,Y
IDCJAC0011,66194,2016,1,19,16.0,1.0,Y
IDCJAC0011,66194,2016,1,20,18.1,1.0,Y
IDCJAC0011,66194,2016,1,21,22.4,1.0,Y
IDCJAC0011,66194,2016,1,22,22.8,1.0,Y
IDCJAC0011,66194,2016,1,23,21.4,1.0,Y
IDCJAC0011,66194,2016,1,24,19.7,1.0,Y
IDCJAC0011,66194,2016,1,25,20.7,1.0,Y
IDCJAC0011,66194,2016,1,26,19.2,1.0,Y
IDCJAC0011,66194,2016,1,27,19.2,1.0,Y
IDCJAC0011,66194,2016,1,28,21.2,1.0,Y
IDCJAC0011,66194,2016,1,29,19.9,1.0,Y
IDCJAC0011,66194,2016,1,30,18.7,1.0,Y
IDCJAC0011,66194,2016,1,31,17.8,1.0,Y
IDCJAC0011,66194,2016,2,1,18.8,1.0,Y
IDCJAC0011,66194,2016,2,2,14.3,1.0,Y
IDCJAC0011,66194,2016,2,3,16.1,1.0,Y
IDCJAC0011,66194,2016,2,4,18.8,1.0,Y
IDCJAC0011,66194,2016,2,5,19.6,1.0,Y
IDCJAC0011,66194,2016,2,6,19.4,1.0,Y
IDCJAC0011,66194,2016,2,7,17.1,1.0,Y
IDCJAC0011,66194,2016,2,8,16.2,1.0,Y
IDCJAC0011,66194,2016,2,9,19.0,1.0,Y
IDCJAC0011,66194,2016,2,10,17.4,1.0,Y
IDCJAC0011,66194,2016,2,11,17.1,1.0,Y
IDCJAC0011,66194,2016,2,12,18.6,1.0,Y
IDCJAC0011,66194,2016,2,13,18.2,1.0,Y
IDCJAC0011,66194,2016,2,14,18.5,1.0,Y
IDCJAC0011,66194,2016,2,15,22.0,1.0,Y
IDCJAC0011,66194,2016,2,16,16.5,1.0,Y
IDCJAC0011,66194,2016,2,17,18.7,1.0,Y
IDCJAC0011,66194,2016,2,18,14.9,1.0,Y
IDCJAC0011,66194,2016,2,19,18.0,1.0,Y
IDCJAC0011,66194,2016,2,20,22.6,1.0,Y
IDCJAC0011,66194,2016,2,21,20.6,1.0,Y
IDCJAC0011,66194,2016,2,22,18.5,1.0,Y
IDCJAC0011,66194,2016,2,23,16.9,1.0,Y
IDCJAC0011,66194,2016,2,24,18.9,1.0,Y
IDCJAC0011,66194,2016,2,25,18.4,1.0,Y
IDCJAC0011,66194,2016,2,26,22.4,1.0,Y
IDCJAC0011,66194,2016,2,27,19.4,1.0,Y
IDCJAC0011,66194,2016,2,28,17.6,1.0,Y
IDCJAC0011,66194,2016,2,29,17.4,1.0,Y
IDCJAC0011,66194,2016,3,1,18.2,1.0,Y
IDCJAC0011,66194,2016,3,2,16.8,1.0,Y
IDCJAC0011,66194,2016,3,3,19.1,1.0,Y
IDCJAC0011,66194,2016,3,4,18.9,1.0,Y
IDCJAC0011,66194,2016,3,5,16.8,1.0,Y
IDCJAC0011,66194,2016,3,6,16.2,1.0,Y
IDCJAC0011,66194,2016,3,7,17.8,1.0,Y
IDCJAC0011,66194,2016,3,8,18.7,1.0,Y
IDCJAC0011,66194,2016,3,9,20.3,1.0,Y
IDCJAC0011,66194,2016,3,10,19.7,1.0,Y
IDCJAC0011,66194,2016,3,11,,,
IDCJAC0011,66194,2016,3,12,19.3,1.0,Y
IDCJAC0011,66194,2016,3,13,20.1,1.0,Y
IDCJAC0011,66194,2016,3,14,19.3,1.0,Y
IDCJAC0011,66194,2016,3,15,19.5,1.0,Y
IDCJAC0011,66194,2016,3,16,19.3,1.0,Y
IDCJAC0011,66194,2016,3,17,18.3,1.0,Y
IDCJAC0011,66194,2016,3,18,17.0,1.0,Y
IDCJAC0011,66194,2016,3,19,13.1,1.0,Y
IDCJAC0011,66194,2016,3,20,16.4,1.0,Y
IDCJAC0011,66194,2016,3,21,15.3,1.0,Y
IDCJAC0011,66194,2016,3,22,14.0,1.0,Y
IDCJAC0011,66194,2016,3,23,13.7,1.0,Y
IDCJAC0011,66194,2016,3,24,13.4,1.0,Y
IDCJAC0011,66194,2016,3,25,15.8,1.0,Y
IDCJAC0011,66194,2016,3,26,14.9,1.0,Y
IDCJAC0011,66194,2016,3,27,15.5,1.0,Y
IDCJAC0011,66194,2016,3,28,17.9,1.0,Y
IDCJAC0011,66194,2016,3,29,19.9,1.0,Y
IDCJAC0011,66194,2016,3,30,17.4,1.0,Y
IDCJAC0011,66194,2016,3,31,13.5,1.0,Y
IDCJAC0011,66194,2016,4,1,13.5,1.0,Y
